sentID	comparison	pairid	contextid	lemma	condition	pronoun	sentence	ROI
1	expected	1	1	is	Across object relative (no that)	NA	the authors the guards like is	5
1	unexpected	1	1	is	Across object relative (no that)	NA	the authors the guards like is	5
1	expected	2	1	help	Across object relative (no that)	NA	the authors the guards like help	5
1	unexpected	2	1	help	Across object relative (no that)	NA	the authors the guards like help	5
1	expected	3	1	bring	Across object relative (no that)	NA	the authors the guards like bring	5
1	unexpected	3	1	bring	Across object relative (no that)	NA	the authors the guards like bring	5
1	expected	4	1	gives	Across object relative (no that)	NA	the authors the guards like gives	5
1	unexpected	4	1	gives	Across object relative (no that)	NA	the authors the guards like gives	5
1	expected	5	1	are	Across object relative (no that)	NA	the authors the guards like are	5
1	unexpected	5	1	are	Across object relative (no that)	NA	the authors the guards like are	5
1	expected	1	1	is	Across object relative (no that)	NA	the authors the guards like is tall	5
1	unexpected	1	1	is	Across object relative (no that)	NA	the authors the guards like is tall	5
1	expected	2	1	help	Across object relative (no that)	NA	the authors the guards like help tall	5
1	unexpected	2	1	help	Across object relative (no that)	NA	the authors the guards like help tall	5
1	expected	3	1	bring	Across object relative (no that)	NA	the authors the guards like bring tall	5
1	unexpected	3	1	bring	Across object relative (no that)	NA	the authors the guards like bring tall	5
1	expected	4	1	gives	Across object relative (no that)	NA	the authors the guards like gives tall	5
1	unexpected	4	1	gives	Across object relative (no that)	NA	the authors the guards like gives tall	5
1	expected	5	1	are	Across object relative (no that)	NA	the authors the guards like are tall	5
1	unexpected	5	1	are	Across object relative (no that)	NA	the authors the guards like are tall	5
1	expected	1	1	is	Across object relative (no that)	NA	the authors the guards like is old	5
1	unexpected	1	1	is	Across object relative (no that)	NA	the authors the guards like is old	5
1	expected	2	1	help	Across object relative (no that)	NA	the authors the guards like help old	5
1	unexpected	2	1	help	Across object relative (no that)	NA	the authors the guards like help old	5
1	expected	3	1	bring	Across object relative (no that)	NA	the authors the guards like bring old	5
1	unexpected	3	1	bring	Across object relative (no that)	NA	the authors the guards like bring old	5
1	expected	4	1	gives	Across object relative (no that)	NA	the authors the guards like gives old	5
1	unexpected	4	1	gives	Across object relative (no that)	NA	the authors the guards like gives old	5
1	expected	5	1	are	Across object relative (no that)	NA	the authors the guards like are old	5
1	unexpected	5	1	are	Across object relative (no that)	NA	the authors the guards like are old	5
1	expected	1	1	is	Across object relative (no that)	NA	the authors the guards like is young	5
1	unexpected	1	1	is	Across object relative (no that)	NA	the authors the guards like is young	5
1	expected	2	1	help	Across object relative (no that)	NA	the authors the guards like help young	5
1	unexpected	2	1	help	Across object relative (no that)	NA	the authors the guards like help young	5
1	expected	3	1	bring	Across object relative (no that)	NA	the authors the guards like bring young	5
1	unexpected	3	1	bring	Across object relative (no that)	NA	the authors the guards like bring young	5
1	expected	4	1	gives	Across object relative (no that)	NA	the authors the guards like gives young	5
1	unexpected	4	1	gives	Across object relative (no that)	NA	the authors the guards like gives young	5
1	expected	5	1	are	Across object relative (no that)	NA	the authors the guards like are young	5
1	unexpected	5	1	are	Across object relative (no that)	NA	the authors the guards like are young	5
1	expected	1	1	is	Across object relative (no that)	NA	the authors the guards like is short	5
1	unexpected	1	1	is	Across object relative (no that)	NA	the authors the guards like is short	5
1	expected	2	1	help	Across object relative (no that)	NA	the authors the guards like help short	5
1	unexpected	2	1	help	Across object relative (no that)	NA	the authors the guards like help short	5
1	expected	3	1	bring	Across object relative (no that)	NA	the authors the guards like bring short	5
1	unexpected	3	1	bring	Across object relative (no that)	NA	the authors the guards like bring short	5
1	expected	4	1	gives	Across object relative (no that)	NA	the authors the guards like gives short	5
1	unexpected	4	1	gives	Across object relative (no that)	NA	the authors the guards like gives short	5
1	expected	5	1	are	Across object relative (no that)	NA	the authors the guards like are short	5
1	unexpected	5	1	are	Across object relative (no that)	NA	the authors the guards like are short	5
1	expected	1	1	is	Across object relative (no that)	NA	the authors the guards admire is	5
1	unexpected	1	1	is	Across object relative (no that)	NA	the authors the guards admire is	5
1	expected	2	1	help	Across object relative (no that)	NA	the authors the guards admire help	5
1	unexpected	2	1	help	Across object relative (no that)	NA	the authors the guards admire help	5
1	expected	3	1	bring	Across object relative (no that)	NA	the authors the guards admire bring	5
1	unexpected	3	1	bring	Across object relative (no that)	NA	the authors the guards admire bring	5
1	expected	4	1	gives	Across object relative (no that)	NA	the authors the guards admire gives	5
1	unexpected	4	1	gives	Across object relative (no that)	NA	the authors the guards admire gives	5
1	expected	5	1	are	Across object relative (no that)	NA	the authors the guards admire are	5
1	unexpected	5	1	are	Across object relative (no that)	NA	the authors the guards admire are	5
1	expected	1	1	is	Across object relative (no that)	NA	the authors the guards admire is tall	5
1	unexpected	1	1	is	Across object relative (no that)	NA	the authors the guards admire is tall	5
1	expected	2	1	help	Across object relative (no that)	NA	the authors the guards admire help tall	5
1	unexpected	2	1	help	Across object relative (no that)	NA	the authors the guards admire help tall	5
1	expected	3	1	bring	Across object relative (no that)	NA	the authors the guards admire bring tall	5
1	unexpected	3	1	bring	Across object relative (no that)	NA	the authors the guards admire bring tall	5
1	expected	4	1	gives	Across object relative (no that)	NA	the authors the guards admire gives tall	5
1	unexpected	4	1	gives	Across object relative (no that)	NA	the authors the guards admire gives tall	5
1	expected	5	1	are	Across object relative (no that)	NA	the authors the guards admire are tall	5
1	unexpected	5	1	are	Across object relative (no that)	NA	the authors the guards admire are tall	5
1	expected	1	1	is	Across object relative (no that)	NA	the authors the guards admire is old	5
1	unexpected	1	1	is	Across object relative (no that)	NA	the authors the guards admire is old	5
1	expected	2	1	help	Across object relative (no that)	NA	the authors the guards admire help old	5
1	unexpected	2	1	help	Across object relative (no that)	NA	the authors the guards admire help old	5
1	expected	3	1	bring	Across object relative (no that)	NA	the authors the guards admire bring old	5
1	unexpected	3	1	bring	Across object relative (no that)	NA	the authors the guards admire bring old	5
1	expected	4	1	gives	Across object relative (no that)	NA	the authors the guards admire gives old	5
1	unexpected	4	1	gives	Across object relative (no that)	NA	the authors the guards admire gives old	5
1	expected	5	1	are	Across object relative (no that)	NA	the authors the guards admire are old	5
1	unexpected	5	1	are	Across object relative (no that)	NA	the authors the guards admire are old	5
1	expected	1	1	is	Across object relative (no that)	NA	the authors the guards admire is young	5
1	unexpected	1	1	is	Across object relative (no that)	NA	the authors the guards admire is young	5
1	expected	2	1	help	Across object relative (no that)	NA	the authors the guards admire help young	5
1	unexpected	2	1	help	Across object relative (no that)	NA	the authors the guards admire help young	5
1	expected	3	1	bring	Across object relative (no that)	NA	the authors the guards admire bring young	5
1	unexpected	3	1	bring	Across object relative (no that)	NA	the authors the guards admire bring young	5
1	expected	4	1	gives	Across object relative (no that)	NA	the authors the guards admire gives young	5
1	unexpected	4	1	gives	Across object relative (no that)	NA	the authors the guards admire gives young	5
1	expected	5	1	are	Across object relative (no that)	NA	the authors the guards admire are young	5
1	unexpected	5	1	are	Across object relative (no that)	NA	the authors the guards admire are young	5
1	expected	1	1	is	Across object relative (no that)	NA	the authors the guards admire is short	5
1	unexpected	1	1	is	Across object relative (no that)	NA	the authors the guards admire is short	5
1	expected	2	1	help	Across object relative (no that)	NA	the authors the guards admire help short	5
1	unexpected	2	1	help	Across object relative (no that)	NA	the authors the guards admire help short	5
1	expected	3	1	bring	Across object relative (no that)	NA	the authors the guards admire bring short	5
1	unexpected	3	1	bring	Across object relative (no that)	NA	the authors the guards admire bring short	5
1	expected	4	1	gives	Across object relative (no that)	NA	the authors the guards admire gives short	5
1	unexpected	4	1	gives	Across object relative (no that)	NA	the authors the guards admire gives short	5
1	expected	5	1	are	Across object relative (no that)	NA	the authors the guards admire are short	5
1	unexpected	5	1	are	Across object relative (no that)	NA	the authors the guards admire are short	5
1	expected	1	1	is	Across object relative (no that)	NA	the authors the guards hate is	5
1	unexpected	1	1	is	Across object relative (no that)	NA	the authors the guards hate is	5
1	expected	2	1	help	Across object relative (no that)	NA	the authors the guards hate help	5
1	unexpected	2	1	help	Across object relative (no that)	NA	the authors the guards hate help	5
1	expected	3	1	bring	Across object relative (no that)	NA	the authors the guards hate bring	5
1	unexpected	3	1	bring	Across object relative (no that)	NA	the authors the guards hate bring	5
1	expected	4	1	gives	Across object relative (no that)	NA	the authors the guards hate gives	5
1	unexpected	4	1	gives	Across object relative (no that)	NA	the authors the guards hate gives	5
1	expected	5	1	are	Across object relative (no that)	NA	the authors the guards hate are	5
1	unexpected	5	1	are	Across object relative (no that)	NA	the authors the guards hate are	5
1	expected	1	1	is	Across object relative (no that)	NA	the authors the guards hate is tall	5
1	unexpected	1	1	is	Across object relative (no that)	NA	the authors the guards hate is tall	5
1	expected	2	1	help	Across object relative (no that)	NA	the authors the guards hate help tall	5
1	unexpected	2	1	help	Across object relative (no that)	NA	the authors the guards hate help tall	5
